entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-12,local-authority-eng:ECA,Site/02/08,"Police Station, 12, Bell Road, Bottisham, CAMBRIDGE, CB25 9DF",https://www.eastcambs.gov.uk/sites/default/files/Site_02_08.pdf,,owned by a public authority,permissioned,,,52.222905,0.256845,0.11,9,9,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
2017-12-12,local-authority-eng:ECA,Site/05/06,Former D S Smith Site Reach Road Burwell Burwell CB25 0AH,https://www.eastcambs.gov.uk/sites/default/files/Site_05_06.pdf,,not owned by a public authority,permissioned,,,,,3.06,70,70,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
2017-12-12,local-authority-eng:ECA,Site/06/05,"1, Oak Lane, Cheveley, NEWMARKET, CB8 9RA",https://www.eastcambs.gov.uk/sites/default/files/Site_06_05.pdf,,not owned by a public authority,permissioned,,,52.21174,0.462439,0.51,7,7,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
2017-12-12,local-authority-eng:ECA,Site/10/11,"The Grange, Nutholt Lane, Ely CB7 4EE",https://www.eastcambs.gov.uk/sites/default/files/Site_10_11.pdf,,owned by a public authority,not permissioned,,,,,0.61,10,10,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
2017-12-12,local-authority-eng:ECA,Site/10/12,"Paradise Leisure Centre, Newnham St, Ely CB7 4PQ",https://www.eastcambs.gov.uk/sites/default/files/Site_10_12.pdf,,owned by a public authority,not permissioned,,,,,1,50,50,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
2017-12-12,local-authority-eng:ECA,Site/10/19,"Station Gateway, Angel Drove, Ely",https://www.eastcambs.gov.uk/sites/default/files/Site_10_19.pdf,,not owned by a public authority,not permissioned,,,,,11.41,100,100,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
2017-12-12,local-authority-eng:ECA,Site/10/28,"Princess of Wales Hospital, Lynn Road, Ely CB6 1DN",https://www.eastcambs.gov.uk/sites/default/files/Site_10_28.pdf,,owned by a public authority,not permissioned,,,,,4.03,77,77,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
2017-12-12,local-authority-eng:ECA,Site/10/31,Land At Barton Road Car Park Barton Road Ely Cambridgeshire,https://www.eastcambs.gov.uk/sites/default/files/Site_10_31.pdf,,owned by a public authority,permissioned,,,,,0.19,11,11,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
2017-12-12,local-authority-eng:ECA,Site/10/32,"Lisle Lane, Ely, Cambridgeshire, CB7 4FA",https://www.eastcambs.gov.uk/sites/default/files/Site_10_32.pdf,,not owned by a public authority,permissioned,,,,,0.71,58,58,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
2017-12-12,local-authority-eng:ECA,Site/10/33,"Pound Store, 10, Forehill, ELY, Cambridgeshire CB7 4AF",https://www.eastcambs.gov.uk/sites/default/files/Site_10_33.pdf,,not owned by a public authority,permissioned,,,52.398304,0.266795,0.1,7,7,2017-12-12,,,7dd47652f03a5d7a2df7a2fd239730707208c1f838b33dd3ed52522e2907de49
