row-number,field,issue-type,value
1,"GeoX,GeoY",WGS84 outside England,"2.112708,52.806966"
2,"GeoX,GeoY",WGS84 outside England,"2.119791,52.810854"
3,"GeoX,GeoY",WGS84 outside England,"2.090783,52.80169"
4,"GeoX,GeoY",WGS84 outside England,"2.006566,52.802131"
5,"GeoX,GeoY",WGS84 outside England,"2.006685,52.802602"
6,"GeoX,GeoY",WGS84 outside England,"2.116553,52.799899"
7,"GeoX,GeoY",WGS84 outside England,"2.120263,52.815147"
8,"GeoX,GeoY",WGS84 outside England,"2.105829,52.789312"
9,"GeoX,GeoY",WGS84 outside England,"2.19939,52.89446"
10,"GeoX,GeoY",WGS84 outside England,"2.107114,52.805286"
11,"GeoX,GeoY",WGS84 outside England,"2.159585,52.910345"
12,"GeoX,GeoY",WGS84 outside England,"2.147284,52.905717"
13,"GeoX,GeoY",WGS84 outside England,"2.118544,52.813949"
14,"GeoX,GeoY",WGS84 outside England,"2.002333,52.89193"
15,"GeoX,GeoY",WGS84 outside England,"2.248901,52.857948"
16,"GeoX,GeoY",WGS84 outside England,"2.12383,52.815355"
17,"GeoX,GeoY",WGS84 outside England,"2.037258,52.836854"
18,"GeoX,GeoY",WGS84 outside England,"2.142513,52.910927"
19,"GeoX,GeoY",WGS84 outside England,"2.082207,52.789906"
20,"GeoX,GeoY",WGS84 outside England,"2.115114,52.807354"
28,"GeoX,GeoY",WGS84 outside England,"2.09791,52.815766"
29,"GeoX,GeoY",WGS84 outside England,"2.117461,52.813959"
30,"GeoX,GeoY",WGS84 outside England,"2.117031,52.802893"
31,"GeoX,GeoY",WGS84 outside England,"2.106461,52.805564"
32,"GeoX,GeoY",WGS84 outside England,"2.149993,52.902225"
33,"GeoX,GeoY",WGS84 outside England,"2.148153,52.903387"
34,"GeoX,GeoY",WGS84 outside England,"2.119462,52.807646"
35,"GeoX,GeoY",WGS84 outside England,"2.122451,52.789215"
36,"GeoX,GeoY",WGS84 outside England,"2.117041,52.806714"
37,"GeoX,GeoY",WGS84 outside England,"2.113542,52.80758"
